DIS_DIA;SQRT_DIS;ID_LOBO;COD_SEXO;COD_EDAD;COD_STATUS;COD_CRIA;HOME_RANGE;REFUGIO;NUCLEOS;CARRETERAS;GANADO
24043.61;155.0600206;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
16752.65;129.4320285;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
9050.07;95.13185586;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
15804.87;125.7174212;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
4706.18;68.60160348;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
17585.79;132.6114248;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
12239.39;110.6317766;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
18919.51;137.5482097;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
6259.95;79.1198458;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
3803.57;61.67308976;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
3802.41;61.66368461;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
8674.47;93.13683482;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
26806.94;163.7282505;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
20015.37;141.475687;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
4635.45;68.08413912;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
21584.89;146.9179703;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
16436.71;128.2057331;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
24140.4;155.3718121;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
4049.3;63.63411035;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
8442.59;91.88356763;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
21044.27;145.0664331;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
2418.68;49.18007727;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
14378.29;119.9095075;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
17589.12;132.6239797;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
21216.52;145.6589167;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
10633.34;103.1180876;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
27619.72;166.1918169;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
12367.78;111.2105211;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
21268.49;145.8372038;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
6044.83;77.74850481;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
9244.82;96.149987;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
10178.14;100.8867682;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
15411.62;124.1435459;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
27541.37;165.9559279;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
14170.36;119.0393212;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
23740.74;154.0803037;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
6266.11;79.15876452;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
6973.11;83.50514954;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
13649.62;116.8315882;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
22201.93;149.0031208;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
20313.72;142.5262081;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
14003.6;118.3368075;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
18995.56;137.824381;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
13440.31;115.932351;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
1595.98;39.9497184;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
16536.77;128.5953732;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
6371.89;79.82411916;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
17540.59;132.4408925;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
1191.05;34.51159226;Chisco;1;2;2;1;191.04;75.63;102;223.2;13556.53
2265.2;47.59411728;Chisco;1;2;2;1;191.04;75.63;102;223.2;13556.53
1390.73;37.29249254;Chisco;1;2;2;1;191.04;75.63;102;223.2;13556.53
823.99;28.70522601;Chisco;1;2;2;1;191.04;75.63;102;223.2;13556.53
5591.5;74.77633315;Chisco;1;2;2;1;191.04;75.63;102;223.2;13556.53
3102.99;55.70448815;Chisco;1;2;2;1;191.04;75.63;102;223.2;13556.53
2602.03;51.01009704;Chisco;1;2;2;1;191.04;75.63;102;223.2;13556.53
1011.91;31.81053285;Chisco;1;2;2;1;191.04;75.63;102;223.2;13556.53
6510.26;80.68618221;Chisco;1;2;2;1;191.04;75.63;102;223.2;13556.53
4909.47;70.06761021;Chisco;1;2;2;1;191.04;75.63;102;223.2;13556.53
6534.64;80.83712019;Chisco;1;2;2;1;191.04;75.63;102;223.2;13556.53
6728.26;82.0259715;Chisco;1;2;2;1;191.04;75.63;102;223.2;13556.53
10284.61;101.4130662;Chisco;1;2;2;1;191.04;75.63;102;223.2;13556.53
13256.48;115.1367882;Chisco;1;2;2;1;191.04;75.63;102;223.2;13556.53
6366.64;79.79122759;Chisco;1;2;2;1;191.04;75.63;102;223.2;13556.53
7989.9;89.38624055;Chisco;1;2;2;1;191.04;75.63;102;223.2;13556.53
13643;116.8032534;Chisco;1;2;2;1;191.04;75.63;102;223.2;13556.53
9457.6;97.2501928;Chisco;1;2;2;1;191.04;75.63;102;223.2;13556.53
777.26;27.87938306;Chisco;1;2;2;1;191.04;75.63;102;223.2;13556.53
6249.6;79.05441164;Chisco;1;2;2;1;191.04;75.63;102;223.2;13556.53
8517.85;92.29219902;Chisco;1;2;2;1;191.04;75.63;102;223.2;13556.53
3623.17;60.19277365;Chisco;1;2;2;1;191.04;75.63;102;223.2;13556.53
3967.09;62.98483945;Chisco;1;2;2;1;191.04;75.63;102;223.2;13556.53
4167.27;64.55439567;Chisco;1;2;2;1;191.04;75.63;102;223.2;13556.53
9884.69;99.4217783;Chisco;1;2;2;1;191.04;75.63;102;223.2;13556.53
3212.88;56.68227236;Chisco;1;2;2;1;191.04;75.63;102;223.2;13556.53
