ID;COD_SEX;COD_C_EDAD;COD_STATUS;COD_CRIA;Dis_dia;SqrtDis_dia;K90_total;K90_refugio;N_nucleos_KT90;K90_carre;K90_bioma_tot_T
L4;1;2;2;1;11866.82;108.9349347;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;8062.49;89.7913693;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;11387.83;106.7137761;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;5952.04;77.14946533;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;14853.24;121.8738692;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;6533.4;80.82945008;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;14033.72;118.464003;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;2792.64;52.845435;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;6966.28;83.46424384;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;7916.72;88.97595181;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;11690.24;108.1214132;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;11560.79;107.5211142;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;14050.37;118.5342567;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;8776.42;93.68254907;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;14781.95;121.5810429;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;11508.89;107.2794948;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;13877.4;117.8023769;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;21597.41;146.9605729;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;7976.25;89.30985388;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;11337.7;106.4786364;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;19566.28;139.8795196;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;6709.97;81.91440655;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;3594.46;59.95381556;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;6318.96;79.49188638;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;2613.93;51.12660755;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;1979.49;44.49145985;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;4455.83;66.75200372;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;4280.54;65.42583588;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;8444.28;91.89276359;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;10913.38;104.467124;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;3667.76;60.56203431;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;5872.39;76.63152093;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;4391.67;66.26967632;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;5076.38;71.24871929;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;12005;109.5673309;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;7402.96;86.0404556;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;3084.87;55.54160603;679.71;369.97;619;1023.41;9235.845
